Provider Number,State,Clinical Process of Care Score, Patient Experience of Care Score,Outcome Score,Efficiency Score,TPS
40062,AR,54.28571429,21,42.85714286,0,27.82142857
40067,AR,46,41,50,0,34.85
40071,AR,68.57142857,20,57.14285714,0,34.71428571
40072,AR,84,38,83.33333333,70,68.73333333
40074,AR,,17,25,10,18.61111111
40076,AR,,63,40,40,46.38888889
40078,AR,30,27,27.14285714,0,20.60714286
40080,AR,60,34,43.33333333,0,31.83333333
40084,AR,47.14285714,22,74.28571429,10,42.42857143
40085,AR,80,33,40,100,57.25
40088,AR,60,28,38.57142857,0,28.42857143
40114,AR,80,37,32.85714286,10,32.89285714
40118,AR,28.57142857,51,21.42857143,0,24.17857143
40119,AR,55.71428571,42,27.14285714,0,26.92857143
40134,AR,94.28571429,93,63.33333333,40,68.01190476
40137,AR,64.28571429,37,13.33333333,10,23.51190476
40147,AR,85,94,,60,78.33333333
40153,AR,,45,80,0,48.05555556
50002,CA,91.42857143,14,44.28571429,0,30.35714286
50006,CA,30,9,50,40,35.25
50007,CA,70,46,54.28571429,60,55.21428571
50008,CA,68,17,24,10,23.15
50009,CA,45.71428571,23,27.14285714,50,33.67857143
50013,CA,68.57142857,42,60,50,53.85714286
50014,CA,80,32,46,50,46.9
50017,CA,67.14285714,31,41.42857143,30,38.53571429
50018,CA,72.85714286,19,90,0,48.03571429
50022,CA,78.57142857,7,44.28571429,0,27.32142857
50026,CA,44.28571429,30,52.85714286,20,38.07142857
50030,CA,27.14285714,18,83.33333333,100,65.54761905
50036,CA,77.14285714,17,48.57142857,0,31.39285714
50038,CA,38.57142857,1,50,30,31.60714286
50039,CA,62.85714286,40,50,10,38.78571429
50040,CA,72.85714286,12,37.5,40,35.28571429
50042,CA,58.57142857,26,50,50,44.85714286
50043,CA,48.57142857,20,65.71428571,0,36.14285714
50045,CA,47.14285714,16,27.14285714,40,29.57142857
50047,CA,60,10,38.57142857,60,38.92857143
50054,CA,41.42857143,21,50,0,29.39285714
50055,CA,41.42857143,14,22,50,28.94285714
50056,CA,32.85714286,22,25.71428571,0,19.07142857
50057,CA,68.57142857,18,67.14285714,20,43.21428571
50058,CA,37.14285714,19,82.85714286,0,41.60714286
50060,CA,42.85714286,35,25.71428571,0,23.32142857
50063,CA,25.71428571,3,48.57142857,0,22.75
50067,CA,61.42857143,32,56.66666667,30,44.30952381
50069,CA,74.28571429,50,41.42857143,0,36.5
50070,CA,87.14285714,30,63.33333333,100,66.54761905
50071,CA,90,42,47.5,100,63.5
50072,CA,54.28571429,16,25,90,41.92857143
50073,CA,70,23,2.5,70,31.25
50075,CA,78.57142857,18,25,60,37.35714286
50076,CA,72.85714286,25,40,100,54.53571429
50077,CA,45.71428571,14,62.85714286,10,35.71428571
50078,CA,38.57142857,23,51.66666667,20,35.27380952
50082,CA,45.71428571,15,61.42857143,0,32.89285714
50084,CA,78.57142857,17,58.57142857,0,35.53571429
50089,CA,37.14285714,33,78,0,43.16428571
50090,CA,58.57142857,29,40,60,44.10714286
50091,CA,66,9,76,0,39.25
50093,CA,41.42857143,22,31.42857143,0,22.21428571
50099,CA,70,10,44.28571429,0,27.21428571
50100,CA,72.85714286,66,42.85714286,0,40.92857143
50101,CA,64.28571429,41,45,10,37.17857143
50102,CA,72.85714286,7,33.33333333,0,22.36904762
50103,CA,68.57142857,23,70,10,43.10714286
50104,CA,65.71428571,11,44.28571429,0,27.03571429
50107,CA,70,38,51.42857143,30,44.57142857
50108,CA,85.71428571,36,42.85714286,30,42.21428571
50112,CA,27.14285714,47,60,0,38.46428571
