Provider Number,State,Clinical Process of Care Score, Patient Experience of Care Score,Outcome Score,Efficiency Score,TPS
170137,KS,85.71428571,57,31.66666667,50,47.98809524
170142,KS,70,44,42,10,37.3
170145,KS,38.57142857,19,20,70,34.10714286
170146,KS,21.42857143,19,65.71428571,30,40.67857143
170150,KS,58.33333333,38,20,50,35.83333333
170166,KS,,,60,100,75.38461538
170175,KS,48.57142857,10,32.5,50,32.85714286
170176,KS,92.85714286,15,45.71428571,0,31.32142857
170182,KS,88.57142857,39,31.42857143,10,33.67857143
170183,KS,100,92,,70,84.16666667
170185,KS,77.14285714,48,64.28571429,10,47.92857143
170186,KS,81.66666667,72,76,30,64.06666667
170187,KS,70,87,,60,72.91666667
170188,KS,92,85,,40,67.41666667
170190,KS,78.33333333,100,,60,79.72222222
170191,KS,54.28571429,39,25,0,25.17857143
170196,KS,45,40,,40,40.83333333
170197,KS,50,44,62.85714286,10,43.64285714
170198,KS,100,,,30,50
170200,KS,45.71428571,55,26.66666667,0,28.98809524
170203,KS,28,100,,40,63
180001,KY,100,30,48.57142857,0,36.92857143
180004,KY,75.71428571,52,20,30,36.07142857
180005,KY,68.57142857,25,38.33333333,20,33.44047619
180009,KY,61.42857143,51,58.57142857,10,44.82142857
180010,KY,30,17,65.71428571,0,33.53571429
180011,KY,87.14285714,46,58.33333333,50,56.04761905
180012,KY,34.28571429,34,41.42857143,20,33.5
180013,KY,57.14285714,26,67.14285714,0,39.07142857
180016,KY,52.85714286,33,10,0,17.53571429
180017,KY,31.42857143,34,41.66666667,10,30.80952381
180018,KY,60,26,36.66666667,40,37.16666667
180019,KY,68.57142857,41,50,20,42.10714286
180020,KY,,52,36.66666667,60,47.40740741
180021,KY,88,63,95,100,87.55
180024,KY,24.28571429,19,67.5,40,44.17857143
180025,KY,77.14285714,44,46.66666667,60,52.38095238
180027,KY,35.71428571,56,32,30,37.87142857
180035,KY,94.28571429,40,67.14285714,0,46.28571429
180036,KY,47.14285714,56,57.14285714,20,46.57142857
180038,KY,60,28,52.85714286,10,36.64285714
180040,KY,38.57142857,23,35.71428571,10,26.39285714
180043,KY,,47,96.66666667,40,67.12962963
180045,KY,100,33,67.14285714,10,47.60714286
180046,KY,42.85714286,51,85,30,58.53571429
180048,KY,65.71428571,26,28.57142857,20,29.5
180049,KY,74.28571429,35,33.33333333,0,29.51190476
180050,KY,48.33333333,13,50,60,43.08333333
180051,KY,20,31,47.14285714,0,28.60714286
180053,KY,77.14285714,54,46.66666667,30,47.38095238
180056,KY,47.14285714,35,66,0,39.86428571
180064,KY,67.14285714,82,0,40,37.21428571
180066,KY,55,48,86.66666667,30,59.66666667
180067,KY,62.85714286,32,41.42857143,0,30.85714286
180069,KY,57.14285714,40,86.66666667,80,70.38095238
180070,KY,22.85714286,47,50,50,46.53571429
180078,KY,,32,62.5,40,47.77777778
180079,KY,80,83,33.33333333,10,44.58333333
180087,KY,72.85714286,51,30,10,34.53571429
180088,KY,28.57142857,24,45.71428571,0,27.14285714
180092,KY,62.85714286,51,80,20,56.03571429
180093,KY,45.71428571,53,42.85714286,10,37.46428571
180095,KY,,44,33.33333333,30,35.37037037
180101,KY,45.71428571,39,40,0,30.32142857
180102,KY,61.42857143,32,57.14285714,30,44.5
180103,KY,65.71428571,49,22.85714286,0,27.96428571
180104,KY,37.14285714,34,45.71428571,0,30.5
180105,KY,,55,43.33333333,40,45.64814815
180106,KY,,76,33.33333333,10,38.7037037
180115,KY,,82,53.33333333,0,46.48148148
180116,KY,47.14285714,27,48.57142857,0,30.89285714
180124,KY,70,39,77.14285714,10,50.10714286
180127,KY,95.71428571,22,65,20,46.07142857
180128,KY,100,49,40,0,38.25
180130,KY,22.85714286,45,34.28571429,0,27.25
180132,KY,38.57142857,30,44.28571429,0,29.07142857
180138,KY,64.28571429,45,62.5,10,45.17857143
180139,KY,57.14285714,24,46.66666667,20,35.38095238
180141,KY,48.57142857,17,34.28571429,0,22.82142857
180143,KY,35.71428571,27,41.42857143,20,31.89285714
180149,KY,,100,26.66666667,50,53.51851852
190002,LA,64.28571429,88,34.28571429,0,42.14285714
190003,LA,84.28571429,22,23.33333333,0,23.26190476
190004,LA,67.14285714,76,51.42857143,10,48.78571429
190005,LA,40,20,16,0,15.4
190006,LA,45.71428571,72,36.66666667,20,42.23809524
190007,LA,47.14285714,38,70,30,49.71428571
190008,LA,74.28571429,43,67.14285714,0,45.03571429
190011,LA,41.42857143,33,37.5,0,27.39285714
190013,LA,55.71428571,63,65,0,47.32142857
190014,LA,34.28571429,41,56,0,36.07857143
190015,LA,42.85714286,55,37.14285714,10,35.39285714
190017,LA,28.57142857,22,54.28571429,0,30.07142857
190019,LA,72.85714286,18,48.57142857,0,31.21428571
190020,LA,58.57142857,45,10,0,21.10714286
190026,LA,74.28571429,23,31.42857143,0,25.75
190027,LA,88.57142857,22,52.85714286,0,35.5
190034,LA,63.33333333,81,45,0,44.58333333
190036,LA,70,30,54.28571429,20,41.21428571
190039,LA,77.14285714,48,50,10,42.21428571
190040,LA,74.28571429,21,52.85714286,20,38.82142857
190044,LA,50,50,27.5,0,28.5
190045,LA,44.28571429,52,30,10,31.92857143
190046,LA,41.42857143,52,37.14285714,10,34.5
190050,LA,41.42857143,67,55,10,45.39285714
190053,LA,65.71428571,69,40,0,39.82142857
190054,LA,67.14285714,30,67.14285714,0,41.07142857
190060,LA,38.57142857,56,22.85714286,0,27
190064,LA,71.42857143,46,18.57142857,10,28.57142857
190065,LA,62.85714286,39,44.28571429,0,33.75
190079,LA,58.57142857,65,63.33333333,20,52.44047619
190081,LA,,53,30,0,28.05555556
190086,LA,92.85714286,21,46.66666667,0,33.20238095
190088,LA,,94,53.33333333,0,49.81481481
190090,LA,,36,66.66666667,0,39.62962963
190098,LA,22.85714286,13,18.57142857,10,15.46428571
190099,LA,38.33333333,28,63.33333333,0,36.16666667
190102,LA,55.71428571,59,37.14285714,10,37.67857143
190106,LA,,,53.33333333,0,32.82051282
190111,LA,37.14285714,35,54.28571429,0,34.17857143
190116,LA,33.33333333,51,20,40,34.08333333
190118,LA,,87,30,0,37.5
190125,LA,82.85714286,46,55.71428571,0,42.07142857
190128,LA,74,69,53.33333333,0,45.98333333
190140,LA,,57,60,0,42.5
190144,LA,100,52,62.5,0,48
190145,LA,,,65,40,55.38461538
190146,LA,74.28571429,31,51.42857143,10,38.25
190151,LA,52,68,56.66666667,10,47.36666667
190160,LA,27.14285714,35,47.14285714,0,30.32142857
190164,LA,68.57142857,49,65,20,50.10714286
190167,LA,50,52,72.5,0,47
190176,LA,74.28571429,30,47.14285714,30,41.28571429
190177,LA,94.28571429,33,30,0,29.67857143
190183,LA,40,58,44,70,53.6
190184,LA,,93,95,10,70.83333333
190190,LA,,89,90,80,86.94444444
190201,LA,48.57142857,58,43.33333333,30,44.19047619
190202,LA,44.28571429,38,72.85714286,0,43.07142857
190204,LA,50,31,58.57142857,0,36.17857143
190205,LA,80,35,32.85714286,10,32.39285714
190218,LA,,,30,0,18.46153846
190236,LA,45.71428571,42,51.42857143,0,35.64285714
190241,LA,56,96,,0,49.33333333
190242,LA,61.42857143,70,22,30,39.94285714
190245,LA,83.33333333,,70,0,48.44444444
190246,LA,48.33333333,94,,0,47.22222222
190250,LA,47.14285714,65,61.66666667,30,53.13095238
190251,LA,62.5,100,,,89.28571429
190263,LA,64,100,83.33333333,20,69.73333333
190266,LA,,95,,0,47.5
190270,LA,51.66666667,92,,0,46.94444444
190274,LA,70,14,40,30,34
190278,LA,50,98,,30,61.66666667
190297,LA,17.14285714,81,85,0,55.96428571
190298,LA,56.66666667,96,,10,53.61111111
190303,LA,68.33333333,97,,10,55.97222222
190308,LA,0,47,63.33333333,0,37.08333333
200001,ME,77.14285714,54,71.42857143,20,54.78571429
200009,ME,58.57142857,29,37.14285714,0,27.96428571
200018,ME,50,31,57.5,60,50.75
200019,ME,72.85714286,19,66,30,45.93571429
200020,ME,85.71428571,75,56,10,52.22142857
200021,ME,58.57142857,40,36,40,40.25714286
200024,ME,78.57142857,46,21.42857143,10,30.42857143
200031,ME,67.14285714,64,60,70,64.21428571
200033,ME,82.85714286,28,18.57142857,0,22.71428571
200034,ME,78.57142857,37,66,0,43.50714286
200037,ME,72.85714286,29,62.5,40,49.53571429
200039,ME,48.57142857,50,14.28571429,20,28.07142857
200041,ME,85.71428571,47,42.5,0,37.32142857
200050,ME,98.57142857,63,77.5,60,71.60714286
200052,ME,88.57142857,82,63.33333333,30,62.19047619
200063,ME,81.42857143,35,52.5,50,50.39285714
220001,MA,38.57142857,36,70,30,48.35714286
220002,MA,65.71428571,48,51.42857143,20,44.14285714
220008,MA,84.28571429,26,40,10,33.42857143
220010,MA,44.28571429,21,35.71428571,10,26.46428571
220011,MA,55.71428571,23,45.71428571,20,34.60714286
220012,MA,40,33,57.14285714,10,37.60714286
220015,MA,72.85714286,34,51.42857143,0,36.35714286
220016,MA,52.85714286,29,70,30,48.03571429
220017,MA,67.14285714,16,86,0,45.11428571
220019,MA,31.42857143,36,62.5,0,37.14285714
220020,MA,81.42857143,46,92.85714286,10,59.28571429
220024,MA,80,59,35.71428571,0,37.03571429
220029,MA,61.42857143,53,48.33333333,0,38.72619048
220030,MA,67.14285714,35,53.33333333,20,41.79761905
220031,MA,35.71428571,10,48.57142857,10,28
220033,MA,57.14285714,25,66.66666667,10,41.13095238
220035,MA,34.28571429,22,54.28571429,10,33.14285714
220036,MA,54.28571429,16,57.14285714,0,32.28571429
220046,MA,92.85714286,45,37.14285714,0,35.39285714
220049,MA,32.85714286,21,80,10,43.03571429
220050,MA,68.57142857,75,53.33333333,40,56.94047619
220052,MA,68.57142857,47,47.14285714,10,39.96428571
220058,MA,,76,90,0,61.11111111
220060,MA,44.28571429,28,65.71428571,10,40.21428571
220063,MA,70,29,42.85714286,0,31.39285714
220065,MA,50,58,53.33333333,0,40.83333333
220066,MA,47.14285714,33,25.71428571,0,23.25
220070,MA,57.14285714,32,51.42857143,10,36.78571429
220071,MA,57.14285714,48,60,0,41.71428571
220073,MA,65.71428571,17,56.66666667,20,38.48809524
220074,MA,41.42857143,30,71.42857143,0,40.21428571
220075,MA,,66,,10,38
220077,MA,65.71428571,18,62.85714286,0,36.21428571
220080,MA,41.42857143,15,88.57142857,0,43.32142857
220083,MA,60,32,84,30,55.1
220084,MA,44.28571429,46,77.14285714,20,51.78571429
220086,MA,64.28571429,28,51.42857143,0,34
220088,MA,66.66666667,57,80,0,52.91666667
220090,MA,45.71428571,49,77.14285714,10,50.17857143
220095,MA,50,27,54,0,33.35
220098,MA,68.57142857,19,63.33333333,0,36.94047619
220100,MA,54.28571429,71,54.28571429,20,49.89285714
220101,MA,51.42857143,60,78.57142857,0,51.57142857
220105,MA,42.85714286,56,68.57142857,0,45.71428571
220108,MA,61.42857143,56,70,20,53.14285714
220110,MA,41.42857143,38,48.57142857,0,33.07142857
220111,MA,84.28571429,8,77.14285714,10,43.78571429
220119,MA,92.85714286,59,57.14285714,30,54.39285714
220126,MA,52.85714286,13,35.71428571,0,22.82142857
220135,MA,68.57142857,26,65.71428571,10,42.14285714
220163,MA,25.71428571,14,61.42857143,0,30.64285714
220171,MA,71.42857143,42,48.57142857,0,37.07142857
220175,MA,57.14285714,23,71.42857143,0,40.03571429
220176,MA,57.14285714,24,70,0,39.71428571
220177,MA,,,25,80,46.15384615
230002,MI,71.42857143,40,57.14285714,10,42.5
230003,MI,52.85714286,76,63.33333333,40,59.61904762
230004,MI,40,21,51.42857143,30,37.32142857
230005,MI,58.57142857,29,45.71428571,30,38.89285714
230015,MI,16.66666667,35,30,0,22.41666667
230017,MI,50,53,28.57142857,20,34.67857143
230019,MI,70,17,51.42857143,10,34.32142857
230020,MI,84.28571429,41,65.71428571,0,44.96428571
230021,MI,44.28571429,63,24.28571429,20,34.89285714
230022,MI,84.28571429,40,75,30,55.92857143
230024,MI,51.42857143,13,54.28571429,10,32.60714286
230029,MI,95.71428571,15,35.71428571,0,27.60714286
230030,MI,65.71428571,56,28,0,31.77142857
230031,MI,75.71428571,41,43.33333333,10,37.6547619
230035,MI,84.28571429,50,50,40,50.92857143
230036,MI,41.42857143,21,53.33333333,20,35.72619048
230037,MI,61.42857143,27,47.5,30,39.39285714
230038,MI,55.71428571,44,48.57142857,10,38.5
230040,MI,65.71428571,48,50,60,53.57142857
230041,MI,34.28571429,20,44.28571429,0,26.14285714
230046,MI,45.71428571,28,41.42857143,0,28.14285714
230047,MI,64.28571429,11,37.14285714,0,24.03571429
230053,MI,40,19,37.14285714,0,23.60714286
230054,MI,37.14285714,26,54.28571429,0,31.92857143
230055,MI,57.14285714,23,96,40,59.86428571
230058,MI,55.71428571,63,85,60,70.32142857
230059,MI,68.57142857,38,37.14285714,30,38.71428571
230066,MI,50,15,74,10,40.85
230069,MI,80,35,85,10,53.25
230070,MI,57.14285714,28,65.71428571,0,39
230072,MI,92.85714286,55,64,30,56.13571429
230075,MI,72.85714286,17,50,0,31.53571429
230077,MI,61.42857143,18,51.42857143,0,31.21428571
230078,MI,65.71428571,89,65,20,59.82142857
230080,MI,75.71428571,40,70,30,53.07142857
230081,MI,58.57142857,64,70,60,64.85714286
230085,MI,75.71428571,75,80,60,73.32142857
230089,MI,91.42857143,24,58.57142857,10,41.07142857
230092,MI,50,23,68.57142857,30,45.67857143
230093,MI,60,30,56.66666667,40,46.16666667
230095,MI,31.42857143,35,72.5,10,43.39285714
230096,MI,34.28571429,45,30,30,34.17857143
230097,MI,67.14285714,42,38.57142857,50,45.14285714
230099,MI,60,34,54.28571429,10,38.71428571
230100,MI,47.14285714,42,36.66666667,60,44.88095238
230104,MI,58.57142857,25,48.57142857,0,31.53571429
230105,MI,38.57142857,36,45.71428571,20,36.14285714
230108,MI,45.71428571,62,0,60,35.07142857
230110,MI,61.42857143,31,50,70,51.39285714
230117,MI,51.42857143,28,42.85714286,30,36.78571429
230118,MI,70,59,62.5,70,64.25
230130,MI,70,19,62.85714286,0,36.89285714
230132,MI,28.57142857,19,24.28571429,10,19.82142857
230133,MI,44.28571429,32,50,50,44.92857143
230141,MI,75.71428571,26,37.14285714,10,31.42857143
230142,MI,90,50,51.42857143,0,42.07142857
230146,MI,14.28571429,9,61.42857143,0,28.25
230151,MI,58.57142857,16,37.14285714,0,24.71428571
230156,MI,70,39,55.71428571,10,41.53571429
230165,MI,68.57142857,23,40,0,28.60714286
230167,MI,58.57142857,28,34.28571429,40,36.57142857
230174,MI,57.14285714,51,16.66666667,30,32.63095238
230176,MI,70,43,68.57142857,0,45.17857143
230180,MI,81.42857143,58,30,40,44.64285714
230193,MI,68.57142857,21,51.42857143,40,42.67857143
230195,MI,67.14285714,20,40,0,27.71428571
230197,MI,30,19,41.42857143,10,26.82142857
230207,MI,40,26,70,0,38.5
230208,MI,74.28571429,62,23.33333333,0,32.26190476
230216,MI,37.14285714,21,37.14285714,20,28.82142857
230217,MI,80,70,50,40,55.5
230222,MI,57.14285714,45,72.85714286,50,58.60714286
230227,MI,51.42857143,19,37.14285714,10,27.25
230230,MI,28.57142857,24,34.28571429,10,25.07142857
230239,MI,50,59,78,70,68.45
230241,MI,74.28571429,46,83.33333333,0,52.26190476
230244,MI,47.14285714,25,35.71428571,20,30.25
230254,MI,44.28571429,26,35.71428571,0,25.21428571
230259,MI,71.42857143,82,46.66666667,40,56.30952381
230269,MI,87.14285714,18,61.42857143,0,37.78571429
230270,MI,91.42857143,49,35,10,37.89285714
230273,MI,64.28571429,16,42.85714286,0,27.57142857
230277,MI,70,35,55.71428571,0,38.03571429
230297,MI,48.33333333,52,42.5,0,34.83333333
230301,MI,66.66666667,,,0,19.04761905
230302,MI,50,38,55.71428571,0,36.78571429
230303,MI,55.71428571,44,65,70,60.07142857
240001,MN,64.28571429,21,57.14285714,10,37.03571429
240002,MN,54.28571429,28,45.71428571,20,35.71428571
240004,MN,55.71428571,16,60,40,43.57142857
240006,MN,90,39,20,50,39.25
240010,MN,50,72,50,20,48
240014,MN,38.57142857,58,26.66666667,70,46.52380952
240018,MN,48.57142857,69,50,70,59.60714286
240019,MN,72.5,53,50,0,40.5
240020,MN,92.85714286,64,40,100,66.28571429
240022,MN,85.71428571,30,73.33333333,90,67.9047619
240030,MN,61.42857143,44,40,20,38.14285714
240036,MN,50,55,47.14285714,20,42.60714286
240038,MN,42.85714286,33,52.85714286,30,41.17857143
240040,MN,87.14285714,55,33.33333333,50,48.29761905
240043,MN,47.14285714,25,45,80,48.96428571
240044,MN,51.42857143,28,70,60,55.14285714
240047,MN,42.85714286,29,44.28571429,0,29.25
240050,MN,84.28571429,49,36.66666667,90,57.8452381
240052,MN,60,58,46.66666667,40,49.16666667
240053,MN,51.42857143,34,65.71428571,40,49.92857143
240056,MN,48.57142857,67,31.66666667,40,44.27380952
240057,MN,45.71428571,48,48.57142857,30,43.5
240059,MN,60,72,40,50,52.5
240063,MN,50,23,64,40,46.35
240064,MN,75.71428571,60,43.33333333,30,47.4047619
240066,MN,42.85714286,93,30,60,54.53571429
240069,MN,71.42857143,66,36.66666667,60,53.30952381
240071,MN,38.57142857,61,56.66666667,80,61.77380952
240075,MN,54.28571429,66,56,70,61.82857143
240076,MN,51.42857143,74,66.66666667,50,62.80952381
240078,MN,80,42,67.14285714,20,50.35714286
240080,MN,62.85714286,33,42.85714286,10,34.17857143
240084,MN,28.57142857,33,80,40,53.10714286
240088,MN,27.14285714,31,37.5,30,32.96428571
240093,MN,30,16,64.28571429,40,42.71428571
240100,MN,54.28571429,21,43.33333333,50,40.51190476
240101,MN,50,71,50,80,62.75
240104,MN,65.71428571,71,45,50,54.82142857
240106,MN,68.57142857,42,21.42857143,20,30.92857143
240115,MN,85.71428571,40,52.85714286,50,52.21428571
240132,MN,82.85714286,27,41.66666667,50,44.20238095
240141,MN,85.71428571,78,50,60,63.07142857
240166,MN,45.71428571,19,26.66666667,100,44.98809524
240187,MN,87.14285714,73,70,80,74.96428571
240207,MN,70,32,31.42857143,60,42.57142857
240210,MN,65.71428571,22,44.28571429,50,42.28571429
240213,MN,42.85714286,74,40,70,56.28571429
240214,MN,85.71428571,52,57.5,70,62.07142857
250001,MS,64.28571429,18,32.85714286,0,24.07142857
250002,MS,,,46.66666667,10,32.56410256
250004,MS,78.57142857,35,51.42857143,0,37.17857143
250006,MS,84.28571429,66,25,60,49.92857143
250007,MS,75.71428571,15,75.71428571,20,46.60714286
250009,MS,52.85714286,74,54.28571429,0,45.5
250010,MS,,,26.66666667,0,16.41025641
250012,MS,,,40,0,24.61538462
250017,MS,,18,45,40,36.11111111
250019,MS,15.71428571,31,48.57142857,0,28.75
250020,MS,,74,50,30,51.11111111
250025,MS,40,70,48,20,45.7
250027,MS,,,40,90,59.23076923
250031,MS,54.28571429,30,47.14285714,0,31.78571429
250034,MS,65.71428571,29,70,30,49.32142857
250036,MS,,79,63.33333333,0,50.09259259
250038,MS,58,66,52.5,40,53.3
250040,MS,30,36,51.42857143,10,35.07142857
250042,MS,68.57142857,48,63.33333333,40,54.19047619
250043,MS,,56,73.33333333,40,59.25925926
250044,MS,,59,60,20,48.61111111
250048,MS,37.14285714,49,52.85714286,0,37.10714286
250050,MS,24.28571429,60,50,0,37.42857143
250057,MS,58.33333333,94,66.66666667,30,63.5
250058,MS,45.71428571,36,35.71428571,40,37.85714286
250061,MS,,,40,60,47.69230769
250067,MS,65,64,60,10,49
250069,MS,45.71428571,35,41.42857143,0,29.89285714
250072,MS,62.85714286,33,27.14285714,0,25.39285714
250077,MS,32,32,36.66666667,80,45.86666667
250078,MS,34.28571429,41,48.57142857,0,33.10714286
250082,MS,44.28571429,21,44.28571429,10,29.89285714
250084,MS,44.28571429,19,30,0,21.17857143
250085,MS,,33,60,10,38.61111111
250093,MS,100,30,32.5,0,30.5
250094,MS,85.71428571,49,63.33333333,0,46.1547619
250095,MS,,37,63.33333333,10,41.2037037
250096,MS,70,23,26.66666667,20,28.41666667
250097,MS,57.14285714,25,41.42857143,0,28.53571429
250099,MS,34.28571429,18,51.66666667,0,28.5952381
250100,MS,87.14285714,44,48.57142857,20,44.14285714
250102,MS,31.42857143,70,34.28571429,0,34.35714286
250117,MS,53.33333333,12,23.33333333,0,17.66666667
250122,MS,44.28571429,37,33.33333333,10,29.51190476
250123,MS,100,21,64,0,40.85
250124,MS,,60,33.33333333,20,37.03703704
250126,MS,32,77,63.33333333,20,52.78333333
250128,MS,94,57,83.33333333,10,59.48333333
250136,MS,67.5,79,40,,56.66666667
250138,MS,90,39,34,10,34.85
250141,MS,32.85714286,16,48.57142857,0,26.71428571
250162,MS,28.33333333,14,73.33333333,40,45.66666667
250167,MS,78,79,,20,54.25
260001,MO,44.28571429,36,44.28571429,10,33.64285714
260004,MO,,22,45,70,45.55555556
260005,MO,42.85714286,41,35.71428571,0,28.82142857
260006,MO,84.28571429,49,50,20,45.67857143
260009,MO,68.57142857,31,75,90,67.10714286
260011,MO,80,44,34.28571429,30,40.21428571
260015,MO,61.42857143,36,30,0,27.14285714
260017,MO,35.71428571,39,66,10,42.22142857
260020,MO,60,41,64.28571429,10,44.46428571
260022,MO,54.28571429,23,62.85714286,20,41.32142857
260023,MO,52.85714286,21,51.42857143,20,36.10714286
260024,MO,,40,46.66666667,70,51.2962963
260025,MO,27.14285714,64,60,50,55.21428571
260027,MO,80,17,51.42857143,10,35.32142857
260032,MO,47.14285714,38,42.85714286,0,31.35714286
260034,MO,44.28571429,42,33.33333333,0,28.26190476
260040,MO,58.57142857,21,38.57142857,30,34.03571429
260047,MO,62.85714286,54,41.42857143,20,41.35714286
260048,MO,54.28571429,12,36,60,37.82857143
260050,MO,94.28571429,62,70,40,62.92857143
260052,MO,81.42857143,41,55.71428571,60,55.67857143
260057,MO,25.71428571,13,67.5,10,35.32142857
260059,MO,75.71428571,49,43.33333333,70,54.6547619
260061,MO,61.66666667,21,23.33333333,50,33.25
260062,MO,50,29,47.14285714,0,31.10714286
260064,MO,84.28571429,63,55,50,58.67857143
260065,MO,40,27,50,20,35.75
260068,MO,51.42857143,39,27.14285714,10,28.25
260070,MO,,27,60,80,56.38888889
260074,MO,90,44,25,20,35
260077,MO,51.42857143,11,24.28571429,20,22.60714286
260078,MO,55.71428571,40,38,60,45.77142857
260081,MO,52.85714286,70,48.57142857,30,49.71428571
260085,MO,80,35,50,0,36.75
260091,MO,47.14285714,33,50,0,32.96428571
260094,MO,71.42857143,32,83.33333333,30,55.97619048
260095,MO,71.42857143,28,41.42857143,10,33.21428571
260096,MO,72.85714286,27,54.28571429,20,40.75
260097,MO,72.85714286,48,30,50,43.78571429
260102,MO,84.28571429,22,0,70,31.42857143
260104,MO,52.85714286,37,41.42857143,0,31.10714286
260105,MO,45.71428571,28,20,0,19.57142857
260108,MO,71.42857143,48,48.57142857,0,38.57142857
260110,MO,67.14285714,52,28.57142857,10,33.64285714
260113,MO,95.71428571,84,38.33333333,30,53.4047619
260116,MO,38.57142857,29,43.33333333,30,35.94047619
260119,MO,60,28,30,20,30
260137,MO,52.85714286,19,48.57142857,10,31.96428571
260138,MO,61.42857143,33,50,0,34.39285714
260141,MO,67.14285714,33,48.57142857,0,34.39285714
260142,MO,57.14285714,46,43.33333333,50,47.04761905
260162,MO,58.57142857,44,40,50,45.35714286
260163,MO,57.14285714,59,76.66666667,50,63.63095238
260175,MO,65.71428571,48,56.66666667,30,48.73809524
260176,MO,60,33,44.28571429,10,34.46428571
260177,MO,47.14285714,28,42.85714286,10,31.35714286
260179,MO,48.57142857,62,62.85714286,20,50.5
260180,MO,60,36,55.71428571,0,37.28571429
260183,MO,40,68,22.85714286,0,30.14285714
260186,MO,61.42857143,18,41.42857143,40,37.21428571
260190,MO,67.14285714,52,57.14285714,20,47.57142857
260191,MO,40,38,18.57142857,20,25.92857143
260193,MO,31.42857143,52,50,0,36.14285714
260195,MO,34.28571429,23,60,60,48.17857143
260200,MO,87.14285714,52,52.85714286,20,47.85714286
260207,MO,37.14285714,16,55,40,39.71428571
260209,MO,,,65,0,40
260210,MO,30,27,32.5,10,25.25
260214,MO,74.28571429,34,33.33333333,10,31.76190476
260216,MO,48.57142857,33,50,10,35.60714286
260219,MO,55.71428571,47,65,50,55.82142857
270003,MT,57.14285714,43,64.28571429,70,59.67857143
270004,MT,77.14285714,36,48.57142857,30,43.64285714
270012,MT,64.28571429,14,44.28571429,10,30.14285714
270014,MT,38.57142857,42,38.57142857,50,42.28571429
270017,MT,55.71428571,35,54.28571429,30,43.53571429
270023,MT,80,41,80,60,65.25
270032,MT,58.57142857,8,26.66666667,100,43.52380952
270049,MT,78.57142857,38,41.42857143,30,41.42857143
270051,MT,48.57142857,46,44.28571429,20,39.07142857
270057,MT,82.85714286,53,34.28571429,40,45.25
270086,MT,18.33333333,82,,80,70.55555556
270087,MT,36.66666667,62,,80,65.27777778
280003,NE,51.42857143,47,30,0,28.89285714
280009,NE,37.14285714,26,75.71428571,0,40.5
280013,NE,77.14285714,40,28.57142857,0,29.14285714
280020,NE,51.42857143,32,32.85714286,0,26.28571429
280023,NE,65.71428571,29,60,0,37.82142857
280030,NE,61.42857143,17,31.42857143,0,22.96428571
280032,NE,42.85714286,51,46.66666667,0,35.70238095
280040,NE,47.14285714,51,34.28571429,0,31.17857143
280060,NE,72.85714286,38,42.85714286,0,33.92857143
280061,NE,58.57142857,33,31.42857143,30,34.17857143
280065,NE,54.28571429,44,51.66666667,40,47.0952381
280077,NE,60,48,12.5,0,23
280081,NE,62.85714286,26,75.71428571,0,43.07142857
280105,NE,65.71428571,50,78.33333333,20,55.4047619
280111,NE,44.28571429,41,42.5,10,34.17857143
280125,NE,82.85714286,51,28.57142857,30,39.96428571
280127,NE,58.33333333,94,,50,69.72222222
280128,NE,16,76,83.33333333,0,53.93333333
280129,NE,65,95,,40,67.08333333
280130,NE,54.28571429,43,57.14285714,0,39.03571429
280131,NE,98.33333333,100,,80,91.38888889
280132,NE,67.14285714,40,52,0,37.51428571
280133,NE,,70,,50,60
290001,NV,65.71428571,32,42.85714286,0,31.71428571
290003,NV,74.28571429,11,28.57142857,0,21.60714286
290005,NV,94.28571429,20,36,10,31.32857143
290006,NV,70,63,60,70,64.25
290007,NV,38.57142857,5,10,0,9.107142857
290008,NV,30,14,60,10,33
290009,NV,60,15,54.28571429,40,41.46428571
290012,NV,44.28571429,20,51.66666667,0,30.0952381
290019,NV,44.28571429,22,41.42857143,20,31.5
290021,NV,50,20,37.14285714,0,24.85714286
290022,NV,65.71428571,20,54.28571429,0,33.28571429
290032,NV,54.28571429,23,32,40,33.97857143
290039,NV,91.42857143,19,32.85714286,0,27.03571429
290041,NV,24.28571429,10,32.85714286,0,18.07142857
290045,NV,52.85714286,35,20,0,22.03571429
290046,NV,40,18,37.14285714,0,23.35714286
290047,NV,67.14285714,21,60,0,35.96428571
290049,NV,92.85714286,35,72.5,30,54.53571429
290051,NV,48.33333333,56,,50,52.22222222
290053,NV,34.28571429,34,47.14285714,10,33.28571429
290054,NV,41.42857143,13,70,0,35.39285714
300001,NH,54.28571429,69,68.57142857,0,50.10714286
300003,NH,51.42857143,34,45.71428571,0,31.92857143
300005,NH,44.28571429,28,63.33333333,0,36.76190476
300011,NH,77.14285714,51,55,0,42.46428571
300012,NH,50,22,47.14285714,20,34.35714286
300014,NH,61.42857143,75,42.5,0,41.89285714
300017,NH,94.28571429,47,84.28571429,20,59.89285714
300018,NH,42.85714286,58,64.28571429,0,44.5
300019,NH,74.28571429,31,51.66666667,20,40.8452381
300020,NH,58.57142857,37,48.57142857,10,37.03571429
300023,NH,38.57142857,37,68.57142857,10,43.03571429
300029,NH,92.85714286,26,62.85714286,0,40.92857143
300034,NH,64.28571429,27,42.85714286,10,32.82142857
310001,NJ,60,45,42.85714286,0,34.39285714
