Facility ID,State,Clinical Outcomes Score,Person and Community Engagement Score, Safety Score,Efficiency and Cost Reduction Score,TPS
270003,MT,50,29,50,90,54.75
270004,MT,52,24,54,20,37.5
270012,MT,36,17,70,0,30.75
270014,MT,52,61,60,70,60.75
270017,MT,32,30,,40,34
270023,MT,24,38,70,40,43
270032,MT,5,35,,100,46.66666667
270049,MT,38,47,46,30,40.25
270051,MT,46,36,26,10,29.5
270057,MT,58,40,42.5,50,47.625
270086,MT,55,52,,90,65.66666667
270087,MT,80,21,,50,50.33333333
280003,NE,52,44,42,0,34.5
280009,NE,68,25,52,0,36.25
280013,NE,60,28,10,0,24.5
280020,NE,32,16,36,10,23.5
280023,NE,40,21,10,10,20.25
280032,NE,52,34,70,0,39
280040,NE,54,53,32,0,34.75
280060,NE,60,11,30,0,25.25
280061,NE,50,10,56,0,29
280065,NE,54,28,100,0,45.5
280077,NE,48,28,,0,25.33333333
280081,NE,64,21,67.5,0,38.125
280105,NE,35,74,,100,69.66666667
280111,NE,27.5,68,,0,31.83333333
280125,NE,44,34,40,0,29.5
280128,NE,55,38,,20,37.66666667
280130,NE,62,28,42,10,35.5
280132,NE,52,53,66.66666667,50,55.41666667
280134,NE,34,29,,0,21
290001,NV,46,30,40,10,31.5
290003,NV,50,11,36,0,24.25
290005,NV,72.5,17,30,0,29.875
290007,NV,48,27,0,0,18.75
290008,NV,8,15,,20,14.33333333
290009,NV,72,24,42,60,49.5
290019,NV,44,30,12,20,26.5
290021,NV,54,19,22,0,23.75
290022,NV,56,14,42,10,30.5
290032,NV,52,27,,30,36.33333333
290039,NV,66,15,72,10,40.75
290041,NV,64,15,30,0,27.25
290045,NV,28,16,4,10,14.5
290046,NV,22,18,28,0,17
290047,NV,60,17,20,0,24.25
290049,NV,45,20,,80,48.33333333
290053,NV,60,25,10,0,23.75
290054,NV,36,17,28,0,20.25
290056,NV,,43,6.666666667,0,16.55555556
290057,NV,30,21,50,0,25.25
300001,NH,32,53,42,0,31.75
300003,NH,32,30,26,0,22
300005,NH,42,24,72.5,0,34.625
300011,NH,48,19,4,0,17.75
300012,NH,28,33,48,10,29.75
300014,NH,48,66,0,10,31
300017,NH,62,33,35,30,40
300018,NH,58,57,56,10,45.25
